epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,6620.12,0.55719,0.37305,0.94455,0.98617,0.98534,0.99137,0.92082,0.48084,0.21036,0.89792,0.00915355,0.00915355,0.00915355
173,6658.25,0.55389,0.37196,0.94405,0.98589,0.98534,0.99137,0.92058,0.4808,0.21037,0.89787,0.0091486,0.0091486,0.0091486
174,6696.59,0.55224,0.36742,0.94345,0.98585,0.98534,0.99133,0.92031,0.4808,0.21049,0.8979,0.00914365,0.00914365,0.00914365
175,6734.63,0.55196,0.37031,0.9462,0.98632,0.9855,0.99137,0.92087,0.48085,0.21079,0.89787,0.0091387,0.0091387,0.0091387
176,6774.05,0.55463,0.36754,0.9443,0.98622,0.98534,0.99139,0.92073,0.48086,0.21039,0.8979,0.00913375,0.00913375,0.00913375
177,6812.74,0.5566,0.37033,0.94474,0.98627,0.98538,0.99148,0.9212,0.48054,0.21001,0.89781,0.0091288,0.0091288,0.0091288
178,6851.25,0.55581,0.37104,0.94287,0.98657,0.98534,0.99145,0.92117,0.4804,0.20968,0.89783,0.00912385,0.00912385,0.00912385
179,6889.01,0.55219,0.36607,0.94189,0.9864,0.98534,0.99147,0.92138,0.48037,0.20982,0.89778,0.0091189,0.0091189,0.0091189
180,6927.37,0.55849,0.36655,0.94165,0.98638,0.98534,0.99143,0.9207,0.48027,0.21008,0.89771,0.00911395,0.00911395,0.00911395
181,6965.61,0.54823,0.36838,0.94026,0.98648,0.98534,0.99143,0.92111,0.48024,0.2105,0.89769,0.009109,0.009109,0.009109
